"Indicator","Time","mean_value","lower_CI","upper_CI"
"Level of consumption (at farm gate)",2005,14.8985812905351,14.3938362767517,15.4033263043186
"Level of consumption (at farm gate)",2006,14.9321240549776,14.4266795665005,15.4375685434547
"Level of consumption (at farm gate)",2007,14.9562518814461,14.4536959065989,15.4588078562932
"Level of consumption (at farm gate)",2008,14.9473245908009,14.4431889786056,15.4514602029962
"Level of consumption (at farm gate)",2009,14.9116161408789,14.3972578767334,15.4259744050244
"Level of consumption (at farm gate)",2010,14.9563484548365,14.4483115025527,15.4643854071204
"Level of consumption (at farm gate)",2011,14.9642438244405,14.4528557547997,15.4756318940813
"Level of consumption (at farm gate)",2012,14.9825813786656,14.4753417057949,15.4898210515362
"Level of consumption (at farm gate)",2013,15.0242409164977,14.5163839576292,15.5320978753662
"Level of consumption (at farm gate)",2014,15.0325574961751,14.5218480723505,15.5432669199998
"Level of consumption (at farm gate)",2015,15.0346576783749,14.5231646060075,15.5461507507424
"Level of consumption (at farm gate)",2016,15.0776586127004,14.5716522785428,15.5836649468581
"Level of consumption (at farm gate)",2017,15.0629752845034,14.5637410825757,15.5622094864311
"Level of consumption (at farm gate)",2018,15.0564400883302,14.5469297136038,15.5659504630566
"Level of consumption (at farm gate)",2019,15.0896308529903,14.5895495426588,15.5897121633218
"Level of consumption (at farm gate)",2020,15.1134922017566,14.6180083226919,15.6089760808213
"Level of production",2005,14.9177960523884,14.4083432496566,15.4272488551202
"Level of production",2006,14.8789152426332,14.3613111952542,15.3965192900122
"Level of production",2007,14.8854397984078,14.3589396171062,15.4119399797094
"Level of production",2008,14.9419559938848,14.4199097566637,15.4640022311058
"Level of production",2009,14.9498602076246,14.42786028091,15.4718601343391
"Level of production",2010,14.9393211569819,14.4155376812763,15.4631046326875
"Level of production",2011,15.0003643603763,14.475924968992,15.5248037517606
"Level of production",2012,14.9996362814619,14.4810745951672,15.5181979677566
"Level of production",2013,15.0387920753031,14.5114926196776,15.5660915309287
"Level of production",2014,15.0682745041433,14.5419910215032,15.5945579867834
"Level of production",2015,15.0548888150675,14.5284497902085,15.5813278399264
"Level of production",2016,15.0828782678987,14.5524949388413,15.613261596956
"Level of production",2017,15.069090041515,14.5516217316603,15.5865583513696
"Level of production",2018,15.0264292149386,14.4968538089277,15.5560046209495
"Level of production",2019,15.0381718641597,14.5135545504169,15.5627891779024
"Level of production",2020,15.0672230046598,14.5482794846957,15.5861665246239
"Producer price (at farm gate)",2005,19.5332398532572,19.2185204294432,19.8479592770712
"Producer price (at farm gate)",2006,19.6410471327065,19.3364714662607,19.9456227991522
"Producer price (at farm gate)",2007,19.72838102332,19.4380117299966,20.0187503166435
"Producer price (at farm gate)",2008,19.7662915964668,19.4765608424028,20.0560223505308
"Producer price (at farm gate)",2009,19.7224497982728,19.4222224043899,20.0226771921557
"Producer price (at farm gate)",2010,19.9155531690534,19.6176041922254,20.2135021458814
"Producer price (at farm gate)",2011,20.0127944896505,19.7186298669821,20.306959112319
"Producer price (at farm gate)",2012,20.100836045581,19.8079839690481,20.393688122114
"Producer price (at farm gate)",2013,20.0145160407054,19.7189205463375,20.3101115350733
"Producer price (at farm gate)",2014,19.9594575987111,19.6514529444865,20.2674622529357
"Producer price (at farm gate)",2015,20.0257130589453,19.7082543261233,20.3431717917673
"Producer price (at farm gate)",2016,20.0118064670896,19.6964628701312,20.327150064048
"Producer price (at farm gate)",2017,19.9711730888708,19.6580006808676,20.284345496874
"Producer price (at farm gate)",2018,19.9391599942305,19.631612697936,20.2467072905251
"Producer price (at farm gate)",2019,19.9722090318336,19.6653041037573,20.2791139599099
"Producer price (at farm gate)",2020,19.9880913295123,19.6834407599112,20.2927418991134
